110.5 60.5 39.74
111.5 60.5 40.06
112.5 60.5 40.79
113.5 60.5 41.09
114.5 60.5 41.35
115.5 60.5 41.24
116.5 60.5 40.57
117.5 60.5 39.24
118.5 60.5 38.08
119.5 60.5 40.54
120.5 60.5 43.69
121.5 60.5 45.08
122.5 60.5 46.39
123.5 60.5 46.90
124.5 60.5 46.93
125.5 60.5 46.71
126.5 60.5 46.08
127.5 60.5 44.92
128.5 60.5 43.14
129.5 60.5 42.65
130.5 60.5 43.39
131.5 60.5 44.71
132.5 60.5 43.82
133.5 60.5 41.58
134.5 60.5 39.17
135.5 60.5 37.44
136.5 60.5 39.22
137.5 60.5 44.41
138.5 60.5 45.09
139.5 60.5 44.31
140.5 60.5 42.77
141.5 60.5 41.16
142.5 60.5 40.10
143.5 60.5 40.31
144.5 60.5 40.26
145.5 60.5 39.64
146.5 60.5 40.26
147.5 60.5 41.88
148.5 60.5 41.88
149.5 60.5 42.10
150.5 60.5 45.38
151.5 60.5 45.97
152.5 60.5 40.70
153.5 60.5 38.74
154.5 60.5 38.57
155.5 60.5 37.35
156.5 60.5 35.04
157.5 60.5 32.89
158.5 60.5 31.07
159.5 60.5 30.28
160.5 60.5 30.07
161.5 60.5 29.08
162.5 60.5 27.60
163.5 60.5 27.92
164.5 60.5 30.86
165.5 60.5 33.32
166.5 60.5 33.60
167.5 60.5 32.89
168.5 60.5 34.31
169.5 60.5 35.46
170.5 60.5 34.12
171.5 60.5 32.37
172.5 60.5 29.54
173.5 60.5 28.30
174.5 60.5 27.19
175.5 60.5 23.31
176.5 60.5 21.02
177.5 60.5 24.17
178.5 60.5 29.92
179.5 60.5 32.40
180.5 60.5 33.63
181.5 60.5 33.24
182.5 60.5 28.62
183.5 60.5 31.23
184.5 60.5 33.40
185.5 60.5 35.42
186.5 60.5 36.84
187.5 60.5 37.85
188.5 60.5 36.75
189.5 60.5 35.26
110.5 61.5 41.33
111.5 61.5 41.71
112.5 61.5 43.24
113.5 61.5 42.13
114.5 61.5 41.05
115.5 61.5 39.27
116.5 61.5 36.90
117.5 61.5 35.46
118.5 61.5 34.22
119.5 61.5 37.92
120.5 61.5 43.44
121.5 61.5 44.95
122.5 61.5 45.74
123.5 61.5 45.53
124.5 61.5 43.97
125.5 61.5 43.20
126.5 61.5 43.24
127.5 61.5 43.63
128.5 61.5 43.35
129.5 61.5 43.30
130.5 61.5 43.74
131.5 61.5 44.06
132.5 61.5 42.78
133.5 61.5 43.30
134.5 61.5 42.78
135.5 61.5 39.88
136.5 61.5 42.44
137.5 61.5 46.67
138.5 61.5 47.67
139.5 61.5 46.72
140.5 61.5 46.66
141.5 61.5 46.77
142.5 61.5 46.67
143.5 61.5 45.87
144.5 61.5 44.10
145.5 61.5 42.68
146.5 61.5 42.88
147.5 61.5 43.03
148.5 61.5 42.82
149.5 61.5 44.83
150.5 61.5 46.14
151.5 61.5 45.10
152.5 61.5 42.69
153.5 61.5 41.25
154.5 61.5 41.21
155.5 61.5 39.89
156.5 61.5 37.85
157.5 61.5 36.78
158.5 61.5 36.37
159.5 61.5 36.70
160.5 61.5 37.76
161.5 61.5 37.92
162.5 61.5 36.66
163.5 61.5 35.03
164.5 61.5 35.35
165.5 61.5 36.40
166.5 61.5 37.53
167.5 61.5 39.32
168.5 61.5 42.09
169.5 61.5 43.53
170.5 61.5 41.30
171.5 61.5 37.53
172.5 61.5 36.22
173.5 61.5 35.85
174.5 61.5 33.08
175.5 61.5 29.81
176.5 61.5 29.78
177.5 61.5 32.83
178.5 61.5 34.68
179.5 61.5 35.30
180.5 61.5 34.77
181.5 61.5 35.98
182.5 61.5 36.25
183.5 61.5 36.15
184.5 61.5 38.23
185.5 61.5 38.90
186.5 61.5 36.26
187.5 61.5 36.39
188.5 61.5 35.75
189.5 61.5 32.56
110.5 62.5 41.97
111.5 62.5 39.59
112.5 62.5 40.06
113.5 62.5 42.06
114.5 62.5 41.98
115.5 62.5 41.14
116.5 62.5 39.89
